CpG_ID,CHR,MAPINFO,Probe_SNPs,Probe_SNPs_10,Methyl27_Loci,UCSC_RefGene_Name,UCSC_RefGene_Group,UCSC_CpG_Islands_Name,Relation_to_UCSC_CpG_Island,R_laml_age,R_hannum_age,Mean_laml,Variance_laml,Mean_hannum,Variance_hannum,R_weidner_i0,R_horvath_i0,R_hannum_i0,R_inters_i0
cg08294136,5,39760800,,,NA,,,,,-0.0195726335830504,-0.077420641502653,0.533947684532516,0.104916917440179,0.388660888353659,0.00915974312537863,0.188950294404063,0.123422894076171,0.0905942729883759,-0.127673160128691
cg08369368,5,176559881,,,NA,NSD1;NSD1,TSS200;TSS1500,chr5:176558852-176561652,Island,-0.0306980440371875,0.120165154600511,0.505669932243475,0.12131456236304,0.101533255035061,0.00267513930626719,0.223445493131941,-0.0204878930694859,0.0293927428268543,0.124762401745469
cg08737836,5,146832257,,,NA,DPYSL3,Body,chr5:146832560-146833938,N_Shore,-0.0717175491104432,0.0552891962082969,0.39976351261404,0.104326735171538,0.0815393475228659,0.00192410266949857,0.258632633858316,0.0110373788382442,0.0866562847974097,0.137164763552243
cg08945395,5,67584214,,,NA,PIK3R1;PIK3R1,Body;TSS200,chr5:67584213-67584451,Island,-0.169870073053467,0.0901452846158121,0.396344901006189,0.125107129633079,0.0296184960980183,6.2507457105727e-05,0.0988499135072502,-0.105392956490654,0.0790202692985664,0.242216679746726
cg09001527,5,177942856,,,NA,COL23A1,Body,chr5:177945808-177946121,N_Shelf,0.269212080440197,0.0296570388552932,0.530653324145869,0.101415087542279,0.700301432012195,0.00235660180805555,0.0613519166053753,-0.010197515747433,-0.0942742210516368,-0.135761156742942
cg09156097,5,138729283,,,NA,LOC389333,1stExon,chr5:138727710-138730911,Island,-0.152560499539889,0.0362375331701504,0.500712056050696,0.14052733214512,0.144163431966463,0.00661105279058293,0.112189108898686,-0.0372226993133996,0.156024702822417,0.176160050621885
cg09877947,5,131593287,,,NA,PDLIM4;PDLIM4,TSS200;TSS200,chr5:131593039-131593813,Island,-0.0484630244808374,0.215978402717411,0.410783571618649,0.107996684711313,0.0805882877743902,0.00120464666999379,0.286145957028923,0.0938797648054632,0.163169291581235,0.188411204200959
cg11843238,5,131593191,,,NA,PDLIM4;PDLIM4,TSS200;TSS200,chr5:131593039-131593813,Island,-0.0744508127250439,0.215117510552105,0.510437607085505,0.119716025698069,0.123550781766768,0.0020308235652834,0.267685404708,0.0525851265341677,0.152422002440698,0.232894363795491
cg12687157,5,68710912,,,NA,MARVELD2;MARVELD2,TSS200;TSS200,chr5:68710807-68711520,Island,-0.316004731487992,-0.0302075463900654,0.393923639083113,0.115623948802424,0.126522815640244,0.00635338907704027,0.156154544670115,0.102598891413591,0.11362887419722,0.177792113340428
cg12832313,5,140346236,,,NA,PCDHAC2;PCDHAC2;PCDHA7;PCDHA12;PCDHA6;PCDHA10;PCDHA4;PCDHA11;PCDHA8;PCDHA6;PCDHA1;PCDHA2;PCDHA1;PCDHA9;PCDHA13;PCDHA5;PCDHAC1;PCDHA3;PCDHAC2;PCDHA10,1stExon;TSS200;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;5'UTR;Body,chr5:140346105-140346931,Island,-0.270259351972529,0.151366463288816,0.36783097498998,0.10083641755792,0.0703391720335366,0.00166143500344044,0.42967872360533,0.401603300283926,0.453704396132685,0.273722228842148
cg13372456,5,153569246,,,NA,GALNT10,TSS1500,chr5:153569545-153570538,N_Shore,-0.139281359560863,-0.0751851493492864,0.363355361555516,0.104388250076585,0.128485076219512,0.00287112242267658,0.339486302917744,0.0904332033545217,0.180847505680581,0.199421464172279
cg13777717,5,76250527,,,NA,CRHBP,Body,chr5:76249435-76250528,Island,-0.324447844446056,0.0859963349928683,0.545491588158822,0.101562657890241,0.107088792621951,0.00105896458371375,0.16049027624264,0.00910947393507086,0.156609812920907,0.192672975227326
cg14137381,5,502291,rs7725551,rs78623406,NA,SLC9A3,Body,chr5:500388-500612,S_Shore,-0.11374240197337,-0.0409178357695025,0.449852598535917,0.114894921222636,0.313862814847561,0.0168055889542632,0.20302580812169,0.0933094468162039,0.107297851446134,0.135757869607557
cg15015920,5,16179873,,,NA,MARCH11;MARCH11,1stExon;5'UTR,chr5:16179064-16180420,Island,-0.126813567307435,0.38359362897,0.406608108312749,0.102118860821467,0.0717117210746951,0.00127924926402515,0.489913835963726,0.415032891898444,0.557520349422491,0.805445961548734
cg15690342,5,72594851,,,NA,,,chr5:72594147-72595808,Island,-0.115765428065259,0.167089485710596,0.417419268633346,0.120944127714181,0.117370364192073,0.0020908445098612,0.461950175245405,0.266056629124841,0.34267482424098,0.31424439029802
cg16135989,5,176166629,rs73337926,,NA,,,chr5:176170244-176170796,N_Shelf,0.283549178395762,0.0952749858935789,0.383374534279198,0.101933644060069,0.299396622179878,0.0100399469891073,0.0569307195128465,0.042186273744417,-0.0882867039482605,-0.063467188225481
cg16150752,5,16180072,,,NA,MARCH11,TSS200,chr5:16179064-16180420,Island,-0.167555224831296,0.264679239393655,0.538119655788616,0.10197232195533,0.0781699117591463,0.00291528071411597,0.465153488677873,0.397847748106815,0.490669877102226,0.417895986818587
cg17030173,5,16180062,,,NA,MARCH11,TSS200,chr5:16179064-16180420,Island,-0.139363562977844,0.274390217818101,0.535460556005881,0.100706439751011,0.0901460912652439,0.00305706087445403,0.444766675021469,0.392064033397295,0.459949953363767,0.493087565177731
cg17054060,5,3606081,,,NA,,,chr5:3606488-3607135,N_Shore,-0.16892802189487,0.242630684497703,0.634008535437243,0.100437852130935,0.273768349405488,0.0138363157446667,0.279441844411664,0.17220891388938,0.242737690705214,0.268507188554195
cg17509989,5,176798049,,rs56235845,NA,RGS14,Body,chr5:176793959-176794841,S_Shelf,0.0298069589971192,0.0474531117207196,0.651122139436465,0.107544758230951,0.382979606219512,0.062704032289031,0.268290237618799,0.109618569027789,0.0719627896274443,0.287125523373587
cg17712694,5,16180068,,,NA,MARCH11,TSS200,chr5:16179064-16180420,Island,-0.137397257243671,0.260990743244186,0.538664794275286,0.10293536967455,0.0997186587042683,0.00300729960354537,0.474030397784471,0.41729279747548,0.477388206580023,0.483477624880328
cg17757602,5,42952113,,,NA,,,chr5:42951076-42952410,Island,0.0601079605302911,0.333932059744454,0.261906326298539,0.104297853844778,0.0221091756841463,0.000184980778337048,0.27704552271616,0.0770430573646214,0.187637083817843,0.158432529491768
cg18371052,5,8457721,,,NA,,,chr5:8457432-8458273,Island,0.0693558449405942,-0.00503877558839743,0.43090333387369,0.101567128064857,0.406774880792683,0.0145500211995565,0.0262403799928505,0.0331745920870433,0.212075291835988,0.108415477476959
cg18663063,5,68710907,,,NA,MARVELD2;MARVELD2,TSS200;TSS200,chr5:68710807-68711520,Island,-0.286562755662266,0.0638805371800408,0.405615941685375,0.120865727186706,0.118799128689024,0.00424512294230298,0.177990985031207,0.10646949332917,0.149123362082072,0.212134460272914
cg19984911,5,150020338,,,NA,SYNPO;SYNPO;SYNPO;SYNPO;SYNPO;SYNPO,1stExon;5'UTR;5'UTR;Body;1stExon;Body,,,0.075936228469881,-0.0415986198122138,0.508457414902583,0.114347098623307,0.866665383612805,0.000670812403538987,0.17847419393277,0.209258216811232,0.0306665077884564,-0.0328771063347208
cg20439288,5,67584218,,,NA,PIK3R1;PIK3R1,Body;TSS200,chr5:67584213-67584451,Island,-0.147892989523737,-0.017232630087945,0.43875804862298,0.166322526672228,0.00912187294471037,5.93293235668326e-05,0.0663006989271612,-0.127674803696384,0.0476182649677655,0.223267987821163
cg20474370,5,67584297,,,NA,PIK3R1;PIK3R1;PIK3R1,Body;1stExon;5'UTR,chr5:67584213-67584451,Island,-0.193246258740203,0.0500329607402086,0.446010706454706,0.132148141159371,0.0562393703353659,0.000118048279027257,0.0862766206604677,-0.119586807082133,0.0488213565185949,0.233375929129361
cg20764887,5,178004012,rs10064288,,NA,COL23A1,Body,chr5:178003623-178004247,Island,-0.199402472637871,0.191647245233759,0.387481448063697,0.101864067213636,0.0864903908734756,0.00176356555869447,0.214520920562264,0.154228283334634,0.194084799875089,0.304455301122146
cg21050001,5,36662804,,,NA,SLC1A3;SLC1A3,Body;Body,,,0.213954943545924,0.0112754232584427,0.605760756879891,0.108570760959506,0.675800325152439,0.010642542332687,0.0207738738479618,0.0022064896270334,-0.00121048760544514,-0.0660656687471494
cg21199406,5,76250201,,,NA,CRHBP,Body,chr5:76249435-76250528,Island,-0.335659568488023,0.0505636488047286,0.320931131625862,0.119189863380958,0.0225134051359756,0.000204457970177828,0.16042124639956,0.050857736889466,0.130919206321161,0.162771548199677
cg21629500,5,2754753,,,NA,C5orf38,Body,chr5:2748368-2757024,Island,-0.157711365647885,0.319355596725092,0.507665905393274,0.106482175627524,0.0897068715091463,0.00160794883938695,0.368922600288446,0.382662826196825,0.241360380978991,0.22787326449524
cg21901718,5,16180076,,,NA,MARCH11,TSS200,chr5:16179064-16180420,Island,-0.186219510656713,0.151208570779467,0.379166979914456,0.107886306582346,0.0287096895773018,0.000706399715230329,0.494888915368591,0.422381283051119,0.464440180299376,0.265450152646349
cg22957474,5,141256648,,,NA,PCDH1;PCDH1,Body;Body,chr5:141255564-141257968,Island,-0.133421899998495,-0.00500665971983818,0.377246024976314,0.119632827529625,0.0372616682957317,0.000595479126128737,0.242241333262112,0.200593327936953,0.247361046623906,0.303518467537484
cg23010507,5,1555887,,,NA,,,chr5:1553035-1553269,S_Shelf,0.104072814033957,-0.0320275058044995,0.403046166506902,0.103985406426636,0.480742953963415,0.00380913306563128,0.150099641291351,0.175196919954144,-0.038881059115021,-0.0550619830465992
cg23065934,5,16180266,,,NA,MARCH11,TSS1500,chr5:16179064-16180420,Island,-0.147393192748496,0.229317713695133,0.509997765977569,0.102071972330586,0.0964334768140244,0.00265103774095465,0.449013653938604,0.354127203921553,0.413527383892215,0.498639536842624
cg24082121,5,672872,,,NA,TPPP,Body,,,0.0665206490889377,0.00199232918048677,0.32328286214658,0.10506920466646,0.526173335060976,0.0168978019081675,0.044028713127586,0.00716020265189647,-0.062982335756226,0.183633352919182
cg24843380,5,178367827,,,NA,ZNF454,TSS1500,chr5:178367620-178368725,Island,-0.2771151169487,0.166588469642939,0.50909342859014,0.106236968931681,0.107813468902439,0.0037247571843606,0.413410690586055,0.367376003089907,0.389809058523337,0.334854729160589
cg25092681,5,16180033,,,NA,MARCH11,TSS200,chr5:16179064-16180420,Island,-0.162798935124806,0.227993943873637,0.332098984914576,0.102866313986787,0.0242610415074695,0.000734949443364624,0.469420190407317,0.414689386250734,0.503119902372079,0.641866599828247
cg25153741,5,177913468,,rs75977787,NA,COL23A1,Body,,,0.245221835228616,-0.0970230466216798,0.441193563718271,0.129970153202709,0.316886816143293,0.0109285982144914,0.102623544928977,0.030821003151541,-0.0462524602153895,-0.123874875191578
cg25195415,5,67584194,,,NA,PIK3R1;PIK3R1,Body;TSS200,chr5:67584213-67584451,N_Shore,-0.204100397918305,0.201445450243073,0.401427165743952,0.116702602197358,0.0618127753506098,9.88777780238655e-05,0.0994695385272812,-0.109513380695476,0.0791665468231891,0.249851051677877
cg25923609,5,3607092,,,NA,,,chr5:3606488-3607135,Island,-0.210790111992176,0.273250596002731,0.603815853018585,0.113627422242394,0.145853762560976,0.00509018156418262,0.280460856380946,0.201260616420063,0.16697579435681,0.219459841477896
cg26487948,5,172359575,,,NA,ERGIC1,Body,,,-0.0904936315829528,-0.280825287972552,0.353040271671771,0.123717369980133,0.037228082653811,0.000985235126095209,0.171816101210898,0.0465680252123284,0.0137147506091473,0.159729304401063
cg26547816,5,142527658,,rs77104676,NA,ARHGAP26;ARHGAP26,Body;Body,,,-0.0872416644072053,-0.115832739128967,0.586396130296246,0.127836386389194,0.539588989222561,0.00608656929933429,-0.000388703759250204,0.00990167356280277,-0.0555797068697021,-0.0624432455531221
cg27586797,5,13664584,,rs870546,NA,,,,,-0.0311879764023912,-0.0342787297816055,0.481733426467349,0.102874297201406,0.518444062256098,0.0908920720733552,0.0251293282327949,0.0583441877283018,-0.0156196455646271,0.0362332715625809
cg00010853,6,30653167,,,NA,KIAA1949;KIAA1949,Body;1stExon,chr6:30654392-30654934,N_Shore,-0.224416150390859,-0.0749137328713395,0.49265707379454,0.104531960249263,0.398365776981707,0.00430241809791887,-0.0467027977631044,-0.130524750074988,-0.0355035275071598,0.204654583704848
cg00058449,6,31867956,,,NA,ZBTB12,Body,chr6:31867691-31867957,Island,0.207536500748089,-0.0756376943924489,0.441221030352884,0.12644765967718,0.251318827332317,0.00313403031758708,0.169855324953877,0.0624399584177374,-0.00459623705176827,-0.0659884210656071
cg00084338,6,170595920,,rs7759322,NA,DLL1,Body,chr6:170597246-170597499,N_Shore,0.074896355245078,-0.119327371208725,0.555616485219415,0.127471327026825,0.537271695746951,0.0230043107886494,0.330114679935737,0.205571694477202,0.0110455966767061,0.139419738426202
cg00147788,6,125855365,,,NA,,,,,-0.0311953747099194,0.0320572477957279,0.457848514439852,0.100209224812361,0.135112014472561,0.00466716867241421,0.417942006713974,0.368066301520711,0.348825054545903,0.280681094451726
cg00347904,6,35182508,,,TRUE,SCUBE3,Body,chr6:35181095-35182547,Island,-0.197289022787303,0.0631629321660908,0.435804196099761,0.106376543269144,0.113330996783537,0.00150253078656359,0.29559318412478,0.114084142448012,0.19178873580882,0.202628064740131
cg00872984,6,32063991,,,NA,TNXB,Body,chr6:32063533-32065044,Island,-0.14055551252406,-0.025531963337835,0.523026399525078,0.107949648020442,0.472394588765244,0.0204518029210031,0.154535630493111,0.130848532910389,0.0279989974237076,0.170894059735468
cg01615880,6,138893677,rs6922748,,NA,NHSL1,TSS200,,,-0.146700217943351,-0.090313857857086,0.400227471932219,0.118729541761509,0.109808463110434,0.0045534743677788,0.161875803807325,-0.0317923516577435,0.0564376492051296,0.093689110953146
cg01972751,6,137814728,,,NA,OLIG3,1stExon,chr6:137814355-137815202,Island,-0.132151857206147,0.219347649141077,0.359472501318733,0.106273064755067,0.0763374941463415,0.00096764071389753,0.383330114679936,0.311867791414824,0.245428211017656,0.28051838125018
cg01992382,6,32064212,,,NA,TNXB,Body,chr6:32063533-32065044,Island,-0.125664363538048,0.0494752038109836,0.535620863679015,0.112874051612627,0.356419769054878,0.0206419120677528,0.262807295796986,0.194633751484347,0.111602355232503,0.146588980700406
cg02353165,6,42928485,,,NA,GNMT,TSS200,chr6:42928218-42928810,Island,-0.168075572460783,-0.0202085017878472,0.383246464301062,0.147681674153119,0.0327513488234756,0.00138314656531483,0.276282907306891,0.0939882402731609,0.117874209546663,0.22771548199677
cg02391713,6,105400985,,,NA,,,chr6:105400877-105401149,Island,-0.107096255710499,0.249836242436324,0.533249165639811,0.108322276845449,0.19246704679878,0.00417044629108437,0.279162437903958,0.190690832590304,0.132273506099691,0.114297806248023
cg02772121,6,30130881,rs2517625,,NA,TRIM15,TSS200,,,0.111947079346516,0.111016929022288,0.342135027197714,0.130838630030064,0.623906311295732,0.0117641376933421,0.14310461719254,0.168269282130721,-0.0465861044569447,0.0440024160445078
cg03160883,6,36628713,,,NA,,,chr6:36628586-36628997,Island,0.0277305006841925,0.179280694348878,0.469360635934744,0.120597623501816,0.10935770554878,0.00136367440470115,0.359228838038731,0.150132512645199,0.0726941772505578,0.212394143968312
cg03309393,6,12491383,,,NA,,,,,-0.159768917174906,-0.207284167809397,0.383003538178494,0.112128334802782,0.463494061128049,0.00256254973611792,-0.0918992657361334,-0.0555484790835466,-0.131349821056567,-0.0562223418374265
cg05552183,6,42928497,,,NA,GNMT,TSS200,chr6:42928218-42928810,Island,-0.171556887169906,0.058675883670184,0.360447746210084,0.14657425297345,0.0350497051861281,0.00132144116109292,0.272510919452856,0.0954658076286194,0.118617102143623,0.200959843532356
cg06249604,6,30039206,rs2301753,,NA,RNF39;RNF39,Body;Body,chr6:30038881-30039477,Island,0.0566545949829414,0.0769112067833734,0.46942232973786,0.121764914578551,0.214161775126524,0.0300194635506466,0.314310133005715,0.234935674869439,0.151057841256014,0.117578367362033
cg06437840,6,33048529,rs41553416,rs41545716,NA,HLA-DPB1,Body,chr6:33048416-33048814,Island,0.0937990309797376,-0.130131945234492,0.721398352109219,0.105640234190457,0.63571369839939,0.0322498403143221,0.0796694785370604,0.00884485953659609,0.0398671997304549,0.0677075928718469
cg06500337,6,161100242,,,NA,,,chr6:161100092-161100456,Island,-0.188196502835093,0.0392537088261164,0.449441813691745,0.112888700819613,0.0746518632099085,0.00620437442620183,0.347278457347364,0.263574841909333,0.337380892703792,0.31141087959634
cg06636971,6,24911553,,,NA,FAM65B,TSS1500,chr6:24910626-24911285,S_Shore,-0.193438614735938,0.0603762734420927,0.541961289527277,0.135220379817559,0.0440127876371951,0.000813521956917831,0.188384907117881,-0.0461949353461559,0.086383452560473,0.214974545245364
cg06657721,6,25027618,,,NA,,,,,0.203091761991955,0.143222183175822,0.418314804796526,0.109773512284685,0.55534410964939,0.0148819426379681,-0.0104111795474436,-0.112461941135623,-0.105105332144486,-0.026613469859023
cg06924241,6,43613395,,,NA,RSPH9,Body,chr6:43612714-43613366,S_Shore,-0.167393284099845,0.00277690133163819,0.381759607550011,0.117532537248926,0.0545760051132622,0.000726551165644015,0.267118373854125,0.0752121229552991,0.122001208022254,0.205265990886417
cg07016276,6,29692009,rs3087327,,NA,HLA-F;HLA-F;HLA-F,Body;Body;Body,chr6:29691106-29692093,Island,-0.203719796097685,-0.108588580948119,0.496501203707132,0.118198031206356,0.0128988025046951,0.000291518999976859,0.216800548951609,-0.0128420161644883,0.163438836682787,0.267450374527988
cg07382347,6,30039408,,,NA,RNF39;RNF39,Body;Body,chr6:30038881-30039477,Island,0.12607538062295,0.0278842323936347,0.485512515122925,0.111216332043629,0.301643008658537,0.0367247850908798,0.334915541165207,0.243781356189881,0.170179107789278,0.105108619279871
cg07524919,6,32063901,,,NA,TNXB,Body,chr6:32063533-32065044,Island,-0.166249012535477,-0.0661701765699806,0.574162409697538,0.112208557886104,0.488794092007114,0.0276980992244754,0.177520924671184,0.0733220201090507,0.0579250779667424,0.0631088904685401
cg08481075,6,33161328,rs13437061,,NA,COL11A2;COL11A2;COL11A2;COL11A2,TSS1500;TSS1500;TSS1500;TSS1500,chr6:33160945-33161337,Island,-0.0975261339056322,-0.170454076364804,0.458596715924466,0.113876732309345,0.218823412728659,0.00710857199534961,0.219525584185592,0.0609328068438159,0.027747531566772,0.15630246576243
cg08576643,6,24911545,,,NA,FAM65B,TSS1500,chr6:24910626-24911285,S_Shore,-0.172194785685674,0.121274099359589,0.516854158708375,0.133097008955406,0.0610493346341463,0.00064594642265847,0.162548022993512,-0.0650828152671003,0.0909624321514712,0.210699625677458
cg08985785,6,39196340,,,NA,KCNK5,Body,chr6:39196817-39197517,N_Shore,0.0167736072348654,0.0442980732105647,0.36102685211372,0.103282358652412,0.485922020807927,0.0137525459881034,0.137342268863021,0.142223664909419,-0.0692476157996162,0.104051805253664
cg09513990,6,27235822,rs77691639,,NA,,,,,-0.110082705849399,0.269999813128882,0.431563730607298,0.107676876355743,0.0533382946696646,0.00175810225906378,0.425333130626651,0.341008246600897,0.357080695064777,0.300987373291203
cg09572125,6,33400477,,rs34885339,NA,SYNGAP1,Body,,,0.203694313038422,-0.0532532438004395,0.414010277453865,0.114176442926156,0.287228828333841,0.00967866134182866,-0.0272511741236702,-0.0973657718810221,-0.119986194031384,0.122509070439202
cg10146929,6,26017939,,,TRUE,HIST1H1A,1stExon,chr6:26020671-26021125,N_Shelf,0.102262694792047,-0.00627017346198716,0.485828368435196,0.105284721342319,0.238034023658537,0.00585979142861898,0.237918750231127,0.110553759044758,0.0451397648876416,0.142968201074071
cg10234998,6,29601491,,,NA,GABBR1;GABBR1,TSS1500;TSS1500,chr6:29600192-29600661,S_Shore,-0.105249144930948,-0.0692268061448794,0.519853414894851,0.101606941367716,0.221076283307927,0.00457100116245517,0.205854388120293,-0.00299047141630337,0.00388292867327107,0.169212689986153
cg10568066,6,30039442,,,NA,RNF39;RNF39,Body;Body,chr6:30038881-30039477,Island,0.15810923018607,0.0180104295934861,0.640011935801012,0.120907559230561,0.412826793810976,0.0457542016840778,0.364560571632843,0.289786459467566,0.215595813833087,0.115663611000399
cg10890302,6,32064246,rs56250504,,NA,TNXB,Body,chr6:32063533-32065044,Island,-0.126396795983344,0.0734577313250381,0.580685068763816,0.113445624877085,0.379565122621951,0.0198964087979176,0.289712498921409,0.274864508388359,0.153501826414598,0.114028261146471
cg10923662,6,32064258,,rs56250504,NA,TNXB,Body,chr6:32063533-32065044,Island,-0.131205695876702,0.0356121719172886,0.496505622836316,0.124315156164573,0.274063654603659,0.0216770008556181,0.320412699847559,0.304818529582164,0.150863900268312,0.126433910088629
cg10930308,6,30039476,,,NA,RNF39;RNF39,Body;Body,chr6:30038881-30039477,Island,0.123689837462177,0.0182565265329133,0.503021766069148,0.124661708437605,0.266629844420732,0.0373350171804063,0.322690684669211,0.232644541506248,0.178771679685092,0.0915705521976554
cg11664500,6,133562479,,,NA,EYA4;EYA4;EYA4,TSS200;TSS200;TSS200,chr6:133562086-133563586,Island,-0.260587297930606,0.132742823498082,0.287469528976349,0.10203331930542,0.0634557960609756,0.00207654166386931,0.421431300924918,0.333728885291302,0.430041952065348,0.416950935395463
cg11748354,6,53200697,,,NA,ELOVL5,5'UTR,,,-0.0678350817264555,-0.00653933785235076,0.467849612403311,0.118863850633185,0.0563287309070122,0.000935593879893538,-0.117244723120478,-0.172734855550944,-0.0690750411919153,0.148405123000497
cg11781718,6,26204333,,,NA,HIST1H4E,TSS1500,chr6:26204764-26205213,N_Shore,-0.16909653889968,0.0413565410596187,0.544446294533046,0.126971666898122,0.187652378336738,0.00507438715545665,0.265626014389435,0.112207188143303,0.158115320927137,0.180605901229799
cg11942956,6,133562470,,,NA,EYA4;EYA4;EYA4,TSS200;TSS200;TSS200,chr6:133562086-133563586,Island,-0.276550379474044,0.203550559592394,0.319475008368161,0.100572172171098,0.111396986737805,0.00213811024356062,0.425022496332789,0.341701832167085,0.421712351000316,0.397446717589872
cg12078157,6,13612218,,,NA,SIRT5,3'UTR,chr6:13614901-13615903,N_Shelf,0.095569692581497,-0.12426629223482,0.500084804860059,0.102126073080777,0.520782853810976,0.0138399419702679,-0.153352261754591,-0.255539439461238,-0.16764965711069,0.0395138326765911
cg12422154,6,30130819,,,NA,TRIM15,TSS200,,,0.107439043959307,0.226019060917597,0.449408964232627,0.100029951642571,0.604465612652439,0.00786105385923314,0.147065615331199,0.170673821664688,-0.00576317011336508,0.0259478249436051
cg12633154,6,30039435,,,NA,RNF39;RNF39,Body;Body,chr6:30038881-30039477,Island,0.145575675199058,0.0138154112380515,0.609797521549257,0.117119972435258,0.387306972896341,0.0410945731309753,0.359297867881811,0.284195042178056,0.206454290328015,0.114297806248023
cg12694372,6,32064582,,,NA,TNXB,Body,chr6:32063533-32065044,Island,-0.13984034279633,0.0424932503616743,0.509728596506766,0.116134588548917,0.314718751448171,0.0173967843210429,0.331833851741976,0.200356654189249,0.131877406285825,0.126134780768614
cg12934884,6,28558070,,,NA,,,chr6:28554863-28555124,S_Shelf,-0.0294526622699334,0.101787110552834,0.439710575418414,0.103999644369999,0.184657640260671,0.00833754556853512,0.290363351727595,0.340418205799329,0.133902281682849,0.101392512727377
cg13185413,6,30039202,rs2301753,,NA,RNF39;RNF39,Body;Body,chr6:30038881-30039477,Island,0.0718400322017441,0.058968849216392,0.540275977367608,0.109910520259313,0.318676345030488,0.0325220705817652,0.321254206506063,0.246601718350022,0.170065701618503,0.121687286593007
cg13258453,6,25180502,,,NA,,,,,0.145139997089061,-0.0785197857607256,0.585888250110459,0.106844686038784,0.683947737942073,0.00572803571924088,0.109835519963184,0.0760174711245701,0.0247102184712355,-0.0377322052980405
cg13344095,6,26233352,rs10946808,,NA,,,,,0.00415620476253268,-0.133345382825474,0.489763723552835,0.106802629872578,0.348736939573171,0.0149888372543498,0.0879021091082412,0.0863571554773948,0.00182846905778373,0.115586363318856
cg13397359,6,42928475,,,NA,GNMT,TSS200,chr6:42928218-42928810,Island,-0.138021181178552,-0.0216343624075935,0.408139108916298,0.10833105498991,0.0710156352164634,0.00137579076427541,0.269291170343465,0.0907454812160757,0.104903173318322,0.230787310013847
cg13401893,6,30039432,,,NA,RNF39;RNF39,Body;Body,chr6:30038881-30039477,Island,0.141054487265132,0.0213490839977452,0.607953495046086,0.11972374853869,0.40246379535061,0.0398541935480965,0.350443968722907,0.28425256704729,0.192903074704261,0.125449413040888
cg13675859,6,47002973,,,NA,GPR110;GPR110,5'UTR;5'UTR,,,-0.0666686152395026,-0.177759106199744,0.544377916276309,0.108663138823999,0.543956071341463,0.00392283691535973,0.0758958471153332,0.00978498025664309,-0.0435701577414093,-0.0861237688650754
cg13912224,6,52172083,,,NA,,,chr6:52171922-52172147,Island,0.121460480793667,0.110038813510903,0.594292609686111,0.108855369232898,0.442496711890244,0.00825969517341222,0.177872648157355,0.181131842891364,0.0119840738290607,0.0555024591881597
cg13962347,6,5174647,rs75598578,,NA,LYRM4;LYRM4,Body;Body,,,0.129913458161768,0.0810738260855935,0.369483705478896,0.100191945915005,0.362242172393293,0.00813996365878875,-0.111147086981711,-0.244175812436055,-0.14594470216499,0.00101161591466597
cg14009588,6,10415631,rs79200392,,NA,TFAP2A;TFAP2A,Body;TSS200,chr6:10417384-10417842,N_Shore,-0.20752992447473,0.190620614175509,0.401031087447857,0.104815766166055,0.0876078668307927,0.00287876507112627,0.343131736059464,0.25249390852724,0.238995287069642,0.254919814441207
cg14271531,6,19837622,,,NA,ID4;ID4,1stExon;5'UTR,chr6:19837504-19839314,Island,-0.269803123008287,0.14634244159998,0.428689460438972,0.104252020609979,0.0736189091353659,0.00215673419724382,0.41489976291536,0.284683181782696,0.395762060705173,0.327867922900239
cg14338887,6,42928500,,,TRUE,GNMT;GNMT,1stExon;5'UTR,chr6:42928218-42928810,Island,-0.171810073694206,0.0857788987703872,0.335115271796084,0.113706741698753,0.0515211461637195,0.00257917110034368,0.2761514218915,0.0723950479305428,0.12283778397768,0.202544242787819
cg14367020,6,99292286,,,NA,,,chr6:99292749-99293325,N_Shore,-0.170240810464049,0.145022711662015,0.488030357135177,0.110764442932206,0.11847198375,0.00193322985967309,0.2146211781915,0.187796509884005,0.138292250989222,0.161622694382696
cg14533068,6,158507953,rs2296506,,NA,SYNJ2,Body,chr6:158507719-158508126,Island,0.312044170857873,-0.0979588775419606,0.657003724376491,0.127351275908396,0.488760477911585,0.00892660198202401,-0.0283162059883389,-0.0011841905223669,0.0461522025861538,-0.145989078492684
cg14644001,6,32116653,,,NA,PRRT1,3'UTR,chr6:32116590-32117229,Island,-0.178213719876985,0.129114074979332,0.347831062348785,0.103821833021363,0.0820047783262195,0.00276522293632835,0.317214317118168,0.214463395693031,0.299089052606493,0.198224946892219
cg14703002,6,26018058,rs199749,,NA,HIST1H1A,TSS200,chr6:26020671-26021125,N_Shelf,0.0630672835415881,0.114764100622461,0.378298460708147,0.108245264217355,0.160895464756098,0.00538055108605895,0.263464722873942,0.11109120568017,0.034463149157877,0.154040916617702
cg14757228,6,32116858,,,NA,PRRT1,3'UTR,chr6:32116590-32117229,Island,-0.0686258785978076,0.339718784336467,0.419587683111235,0.108157674565491,0.150224363033537,0.00452792116965273,0.369834780357722,0.24160034186208,0.323423715860017,0.202300994769346
cg15090899,6,167178260,,,NA,RPS6KA2,Body,,,0.312573560863227,0.0951509808559143,0.718090125033772,0.124934064656597,0.866579938993902,0.00394642894413368,0.0999297374811503,0.0930661987977302,0.0249600407604788,-0.0867351760466444
